#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
22500000  285.7  1.520E+02  -2.858E+00  -1.569E+01  -6.168E-01  -1.630E+01  1.386E+02
22600000  284.7  1.515E+02  -2.858E+00  -1.517E+01  -6.168E-01  -1.579E+01  1.386E+02
22700000  291.9  1.553E+02  1.415E+00  -1.474E+01  -6.168E-01  -1.535E+01  1.386E+02
22800000  291.6  1.552E+02  1.415E+00  -1.457E+01  -6.168E-01  -1.519E+01  1.386E+02
22900000  288.6  1.536E+02  -5.616E-01  -1.498E+01  -6.168E-01  -1.560E+01  1.386E+02
23000000  292.1  1.554E+02  1.521E-01  -1.612E+01  -6.168E-01  -1.673E+01  1.386E+02
23100000  297.9  1.585E+02  1.820E+00  -1.753E+01  -6.168E-01  -1.815E+01  1.386E+02
23200000  308.2  1.640E+02  5.828E+00  -1.897E+01  -6.168E-01  -1.959E+01  1.386E+02
23300000  308.0  1.639E+02  5.307E+00  -1.939E+01  -6.168E-01  -2.001E+01  1.386E+02
23400000  313.7  1.669E+02  8.521E+00  -1.921E+01  -6.168E-01  -1.983E+01  1.386E+02
23500000  312.3  1.662E+02  8.521E+00  -1.847E+01  -6.168E-01  -1.909E+01  1.386E+02
23600000  307.8  1.638E+02  7.367E+00  -1.725E+01  -6.168E-01  -1.786E+01  1.386E+02
23700000  296.1  1.575E+02  2.399E+00  -1.597E+01  -6.168E-01  -1.659E+01  1.386E+02
23800000  300.0  1.596E+02  5.055E+00  -1.541E+01  -6.168E-01  -1.603E+01  1.386E+02
23900000  309.0  1.644E+02  9.320E+00  -1.594E+01  -6.168E-01  -1.656E+01  1.386E+02
24000000  312.0  1.660E+02  9.833E+00  -1.702E+01  -6.168E-01  -1.764E+01  1.386E+02
24100000  311.5  1.658E+02  8.676E+00  -1.791E+01  -6.168E-01  -1.853E+01  1.386E+02
24200000  309.6  1.648E+02  7.271E+00  -1.832E+01  -6.168E-01  -1.893E+01  1.386E+02
24300000  300.2  1.597E+02  2.152E+00  -1.840E+01  -6.168E-01  -1.902E+01  1.386E+02
24400000  308.0  1.639E+02  6.319E+00  -1.840E+01  -6.168E-01  -1.902E+01  1.386E+02
24500000  308.2  1.640E+02  6.319E+00  -1.848E+01  -6.168E-01  -1.910E+01  1.386E+02
24600000  308.6  1.642E+02  6.319E+00  -1.872E+01  -6.168E-01  -1.933E+01  1.386E+02
24700000  305.5  1.625E+02  4.259E+00  -1.910E+01  -6.168E-01  -1.972E+01  1.386E+02
24800000  308.3  1.641E+02  5.380E+00  -1.952E+01  -6.168E-01  -2.013E+01  1.386E+02
24900000  315.2  1.677E+02  8.719E+00  -1.985E+01  -6.168E-01  -2.047E+01  1.386E+02
25000000  315.4  1.679E+02  8.719E+00  -1.995E+01  -6.168E-01  -2.057E+01  1.386E+02
25100000  315.5  1.679E+02  9.073E+00  -1.962E+01  -6.168E-01  -2.024E+01  1.386E+02
25200000  313.6  1.669E+02  9.073E+00  -1.860E+01  -6.168E-01  -1.922E+01  1.386E+02
25300000  298.6  1.589E+02  2.855E+00  -1.688E+01  -6.168E-01  -1.750E+01  1.386E+02
25400000  296.1  1.576E+02  2.855E+00  -1.554E+01  -6.168E-01  -1.615E+01  1.386E+02
25500000  293.8  1.564E+02  6.854E-02  -1.711E+01  -6.168E-01  -1.773E+01  1.386E+02
25600000  301.2  1.603E+02  2.137E+00  -1.898E+01  -6.168E-01  -1.960E+01  1.386E+02
25700000  296.2  1.576E+02  -1.282E+00  -1.971E+01  -6.168E-01  -2.033E+01  1.386E+02
